session_id;participant_id;status;started_datetime;completed_date_time;time_taken;age;num_approvals;num_rejections;prolific_score;reviewed_at_datetime;entered_code;Country of Birth;Current Country of Residence;Employment Status;First Language;Fluent languages;Nationality;Sex;Student Status
60f58e6104608db07b2f5bf8;5fa3210b4af86b5dd1b57153;APPROVED;2021-07-19 14:38:25.067000;2021-07-19 15:06:42.821000;1.697.754;25;72;0;100;2021-07-20 08:21:38.869000;51867BAD;Poland;Poland;DATA EXPIRED;Polish;Polish, English, German, French;Poland;Female;DATA EXPIRED
60f6a6f346a7b13a91db586f;5fa5b2f859cd8711ad096b6d;APPROVED;2021-07-20 10:35:31.350000;2021-07-20 11:01:00.966000;1.529.616;25;114;1;100;2021-07-20 14:46:14.196000;51867BAD;Greece;Greece;Due to start a new job within the next month;Greek;Greek, English;Greece;Male;No
60f6a88f1071c9e9270fb8a2;5fa6bd5087c4d53285fd8a53;APPROVED;2021-07-20 10:42:23.002000;2021-07-20 11:09:44.783000;1.641.781;22;92;2;99;2021-07-20 14:46:59.667000;51867BAD;Poland;Poland;Other;Polish;Polish, English;Poland;Male;Yes
60f6a6d4690d49a685d2d5c5;5fad9cb5460126158bf715f8;APPROVED;2021-07-20 10:35:00.808000;2021-07-20 11:02:58.872000;1.678.064;23;112;1;100;2021-07-20 14:47:39.394000;51867BAD;Poland;Poland;Full-Time;Polish;English, Polish;Poland;Female;Yes
60f6a7c5731a35a8e497c47d;5fade2a3b7a899209e1265d8;APPROVED;2021-07-20 10:39:07.589000;2021-07-20 11:05:41.559000;1593.97;21;78;1;99;2021-07-20 14:48:17.762000;51867BAD;Poland;Poland;Part-Time;Polish;Spanish, Polish, English;Poland;Male;Yes
60f6a6d4f9be19a6a52e6ed5;5fb1342e08e942585248e2fc;APPROVED;2021-07-20 10:35:00.297000;2021-07-20 11:14:01.779000;2.341.482;18;65;2;99;2021-07-20 14:48:56.807000;51867BAD;Portugal;Portugal;Unemployed (and job seeking);Portuguese;English, German, Portuguese;Portugal;Female;No
60f6a6b8554f91de394dec06;5fb158cc38ecb85d030d937d;APPROVED;2021-07-20 10:34:32.910000;2021-07-20 11:02:08.724000;1.655.814;30;18;0;100;2021-07-20 14:49:36.270000;51867BAD;Sweden;Sweden;DATA EXPIRED;Swedish;Swedish, English;Sweden;Male;DATA EXPIRED
60f693d9aafd20f4d08a390e;5fb5393217dfb80009621b89;APPROVED;2021-07-20 09:18:48.421000;2021-07-20 09:48:35.505000;1.787.084;19;64;0;100;2021-07-20 14:50:17.389000;51867BAD;Poland;Poland;Due to start a new job within the next month;Polish;Polish, English, German;Poland;Female;Yes
60f6a6f85b256c48c7b7ebdf;5fb7cfde7808523cea8ee891;APPROVED;2021-07-20 10:35:38.447000;2021-07-20 11:01:04.788000;1.526.341;21;70;2;99;2021-07-20 14:51:03.538000;51867BAD;Poland;Poland;Unemployed (and job seeking);Polish;English, Polish;Poland;Male;Yes
60f6a6e522a009b77e8fd5c1;5fbd2977679a7e08dbf5aec1;APPROVED;2021-07-20 10:35:17.366000;2021-07-20 11:09:22.643000;2.045.277;23;78;0;100;2021-07-20 14:51:47.004000;51867BAD;Portugal;Portugal;DATA EXPIRED;Portuguese;English, Portuguese;Portugal;Male;DATA EXPIRED
60f69ba67119a48505e196f7;5fbea04315b8cb0597ec2109;APPROVED;2021-07-20 09:47:26.024000;2021-07-20 10:14:14.498000;1.608.474;24;72;0;100;2021-07-20 14:53:06.664000;51867BAD;Poland;Poland;DATA EXPIRED;Polish;Polish, English;Poland;Female;DATA EXPIRED
60f69b2c149ba6513285e413;5fe0a0d41d6cb49f5177f268;APPROVED;2021-07-20 09:45:15.993000;2021-07-20 10:48:21.342000;3.785.349;19;74;1;100;2021-07-20 14:55:22.100000;NOCODE;Poland;Poland;DATA EXPIRED;Polish;English, Polish;Poland;Male;DATA EXPIRED
60f6a6d805e4f6cfd33ceea5;5fe0c1e530cadf240a9fbeb8;APPROVED;2021-07-20 10:35:04.106000;2021-07-20 11:14:59.631000;2.395.525;23;84;0;100;2021-07-20 14:56:36.223000;51867BAD;Portugal;Portugal;Full-Time;Portuguese;English, Portuguese;Portugal;Female;No
60f6a6b822a009b77e8fd5b8;5fe397905474cd069a8c357d;APPROVED;2021-07-20 10:34:34.731000;2021-07-20 11:04:21.330000;1.786.599;49;34;1;99;2021-07-20 14:58:43.190000;51867BAD;Russian Federation;Spain;Unemployed (and job seeking);Russian;Russian, Spanish, English;Spain;Female;DATA EXPIRED
60f6947a5ef0d2b53004dc6b;5ff82cba08876e571a0e3038;APPROVED;2021-07-20 09:16:52.179000;2021-07-20 09:47:11.132000;1.818.953;21;25;0;100;2021-07-20 14:59:49.148000;51867BAD;Poland;Poland;Full-Time;Polish;English, Polish;Poland;Female;Yes
60f58c875b1f041a4267f476;6001ddf439a36315f6a3b702;APPROVED;2021-07-19 14:30:31.293000;2021-07-19 15:00:31.404000;1.800.111;23;17;0;100;2021-07-20 08:22:10.328000;51867BAD;Ecuador;Netherlands;Unemployed (and job seeking);Spanish;English, Spanish;Spain;Male;Yes
60f6a6ccdfd9b14d1a984e12;6005d880f436527f1bb4c03a;APPROVED;2021-07-20 10:34:52.127000;2021-07-20 11:07:12.376000;1.940.249;24;55;0;100;2021-07-20 15:01:33.178000;51867BAD;Italy;Italy;Other;Italian;English, Italian;Italy;Female;Yes
60f6a6d1ccb495b297ade9ab;6009ded729d8400a50dd70e0;APPROVED;2021-07-20 10:34:57.738000;2021-07-20 11:06:02.196000;1.864.458;20;84;1;100;2021-07-20 15:02:14.745000;D1652A74;Italy;Italy;DATA EXPIRED;Italian;Italian, English;Italy;Male;Yes
60f6a6ef49497476f863c9e0;60128528323c742cb9b96310;APPROVED;2021-07-20 10:35:27.537000;2021-07-20 11:12:29.679000;2.222.142;27;53;0;100;2021-07-20 15:03:15.585000;51867BAD;Portugal;Portugal;Due to start a new job within the next month;Portuguese;Portuguese, English;Portugal;Female;Yes
60f6f532cd641394bcc8168c;60142d5718e5943b09fd9298;APPROVED;2021-07-20 16:09:22.241000;2021-07-20 16:41:20.176000;1.917.935;21;89;0;100;2021-07-20 17:37:14.606000;51867BAD;Portugal;Portugal;Other;Portuguese;English, Portuguese, Spanish;Portugal;Male;Yes
60f69838d36ea556c49e780a;6015774d7b82d9614de60afb;APPROVED;2021-07-20 09:32:40.308000;2021-07-20 10:15:11.090000;2.550.782;28;33;1;99;2021-07-20 15:08:55.385000;51867BAD;Colombia;Italy;Part-Time;Spanish;English, German, Spanish;Colombia;Male;Yes
60f6a9ae4cfb16bcef22c6e7;601d2aa3cf8c480009fc0719;APPROVED;2021-07-20 10:48:43.404000;2021-07-20 11:17:49.296000;1.745.892;20;63;0;100;2021-07-20 15:09:38.824000;51867BAD;Poland;Poland;Unemployed (and job seeking);Polish;English, Polish;Poland;Male;Yes
60f6a6b947b919331f9c706a;601d916593209b155c1a49d2;APPROVED;2021-07-20 10:34:33.263000;2021-07-20 10:59:15.622000;1.482.359;21;69;0;100;2021-07-20 15:10:18.250000;51867BAD;Poland;Poland;Unemployed (and job seeking);Polish;English, Polish;Poland;Female;Yes
60f69d9ca42b6345d351fcb8;60215dd35df8a610ca2ee17a;APPROVED;2021-07-20 09:55:44.390000;2021-07-20 10:30:39.578000;2.095.188;28;36;0;100;2021-07-20 15:10:58.853000;51867BAD;Poland;Poland;Full-Time;Polish;English, Polish;Poland;Female;No
60f5a50bb108837a51bcc5ea;6022d01342dd440987449256;APPROVED;2021-07-19 16:19:28.243000;2021-07-19 16:52:08.016000;1.959.773;18;22;0;100;2021-07-20 08:22:45.538000;51867BAD;Sweden;Sweden;Unemployed (and job seeking);Swedish;Arabic, Swedish, English, French;Sweden;Male;No
60f5923fb2e4b6d6ac1ca42a;6025c2e59366fc1be0c746b0;APPROVED;2021-07-19 14:54:55.726000;2021-07-19 15:22:56.594000;1.680.868;20;35;0;100;2021-07-20 08:23:14.722000;51867BAD;Poland;Poland;Unemployed (and job seeking);Polish;Polish, English;Poland;Male;Yes
60f699ce699cb3c11c451f7d;602aae3eaa844c11d05a2f49;APPROVED;2021-07-20 09:39:34.487000;2021-07-20 10:48:30.224000;4.135.737;19;44;0;100;2021-07-20 15:11:42.669000;51867BAD;Poland;Poland;Unemployed (and job seeking);Polish;Czech, English, French, German, Italian, Spanish, Russian, Polish;Poland;Male;Yes
60f69c95e9decc1852b7c6f5;6033af0a44b47b08f9ba6acb;APPROVED;2021-07-20 09:51:17.785000;2021-07-20 10:29:28.668000;2.290.883;19;38;0;100;2021-07-20 15:12:20.035000;51867BAD;Poland;Poland;Part-Time;Polish;Polish, English;Poland;Female;Yes
60f58dc4c8f440e6466c69ad;603b6906293b9563813177d3;APPROVED;2021-07-19 14:40:30.863000;2021-07-19 15:06:12.372000;1.541.509;23;32;0;100;2021-07-20 08:23:48.056000;51867BAD;Greece;Greece;Other;Greek;Greek, Romanian, English;Greece;Male;Yes
60f6a6f2731a35a8e497c46d;603d7ba0ecb86cc51ed2e12c;APPROVED;2021-07-20 10:35:32.613000;2021-07-20 11:10:13.334000;2.080.721;23;37;0;100;2021-07-20 15:13:02.110000;51867BAD;Portugal;Portugal;Other;Portuguese;Portuguese, English;Portugal;Female;No
60f69d7c676dabc5c586df63;6040eb0f00ed450008ca2022;APPROVED;2021-07-20 09:55:08.253000;2021-07-20 10:30:03.842000;2.095.589;23;54;0;100;2021-07-20 15:15:13.081000;51867BAD;Brazil;Portugal;Unemployed (and job seeking);Portuguese;Portuguese, English;Brazil;Female;Yes
60f6a6e823dec5bdbc9e6a5c;6054b58bd5360d888bf97637;APPROVED;2021-07-20 10:35:20.222000;2021-07-20 11:01:12.298000;1.552.076;27;49;0;100;2021-07-20 15:18:31.004000;51867BAD;Portugal;Portugal;Full-Time;Portuguese;Portuguese, English;Portugal;Male;No
60f69cccab6bbc73bc0e1e0f;605b46f12f06bd9ec2291f4a;APPROVED;2021-07-20 09:52:12.778000;2021-07-20 10:27:07.276000;2.094.498;21;29;0;100;2021-07-20 15:19:20.825000;51867BAD;Poland;Poland;Part-Time;Polish;Polish, English;Poland;Male;Yes
60f6a6f676a4ade8ce85e8c0;605f27f5dd517a60af741805;APPROVED;2021-07-20 10:35:34.035000;2021-07-20 11:05:48.806000;1.814.771;18;62;0;100;2021-07-20 15:20:59.994000;51867BAD;Portugal;Portugal;Other;Portuguese;English, Portuguese;Portugal;Female;Yes
60f6a6bb76a4ade8ce85e8bd;60621c9cf039a8453d40dd86;APPROVED;2021-07-20 10:34:50.490000;2021-07-20 11:16:06.398000;2.475.908;24;26;0;100;2021-07-20 15:21:40.544000;51867BAD;Poland;Poland;Unemployed (and job seeking);Polish;English, Polish;Poland;Male;No
60f69d56227ff30c0cf55e15;60632f4f1d55a31f47b79dfc;APPROVED;2021-07-20 09:54:30.253000;2021-07-20 10:21:50.840000;1.640.587;20;31;1;100;2021-07-20 15:22:25.283000;51867BAD;Italy;Italy;Other;Italian;Italian, English;Italy;Male;Yes
60f69b1ca2ac908afc419a31;6069b1ee82d95ab68039e071;APPROVED;2021-07-20 09:45:00.797000;2021-07-20 10:10:04.377000;1503.58;22;19;0;100;2021-07-20 15:23:04.370000;51867BAD;Italy;Italy;Other;Italian;Portuguese, Spanish, English, Italian;Italy;Male;Yes
60f69cf89957b41e0697dd24;606aec57f0e6bc3c951fdea6;APPROVED;2021-07-20 09:56:31.281000;2021-07-20 10:33:41.494000;2.230.213;26;24;0;100;2021-07-20 15:23:51.465000;51867BAD;India;France;Unemployed (and job seeking);Tamil;English;India;Male;Yes
60f6a75a7a4cb2273630dd14;606c7876280b8e6d353fc539;APPROVED;2021-07-20 10:39:07.744000;2021-07-20 11:13:15.505000;2.047.761;37;34;0;100;2021-07-20 15:24:30.671000;51867BAD;Italy;Spain;Full-Time;Italian;Italian, French, Spanish, English;Italy;Female;No
