session_id;PROLIFIC_PID;status;started_datetime;completed_date_time;time_taken;age;num_approvals;num_rejections;prolific_score;reviewed_at_datetime;entered_code;Country of Birth;Current Country of Residence;Employment Status;First Language;Fluent languages;Nationality;Sex;Student Status
60acc94e1da0a03132e8f2b2;5c6bc7a15028140001710963;APPROVED;2021-05-25 09:54:25.054000;2021-05-25 10:19:02.844000;1477.79;32;89;1;100;2021-05-28 10:42:25.923000;51867BAD;Poland;United Kingdom;Full-Time;Polish;Polish, Spanish, English;Poland;Female;No
60acd656d4b295a55a79e53c;5c921106b788a2000170709f;APPROVED;2021-05-25 10:49:58.432000;2021-05-25 11:09:25.684000;1.167.252;39;571;1;100;2021-05-28 10:42:34.583000;51867BAD;United Kingdom;United Kingdom;Not in paid work (e.g. homemaker', 'retired or disabled);English;English;United Kingdom;Male;Yes
60acd60a14b4e8e39a6f4b0b;5c92cc7915223f0001b8ef5f;APPROVED;2021-05-25 10:48:42.805000;2021-05-25 11:03:14.870000;872.065;23;269;0;100;2021-05-28 10:42:59.579000;51867BAD;Malaysia;United Kingdom;Unemployed (and job seeking);Malay;English, Malay;Malaysia;Female;Yes
60acd68861f5cea41920a016;5c9536793ae6fe0015ad8f0b;APPROVED;2021-05-25 10:50:50.186000;2021-05-25 11:08:58.088000;1.087.902;24;141;3;98;2021-05-28 10:43:06.467000;51867BAD;Greece;Greece;Unemployed (and job seeking);Greek;Greek, English;Greece;Male;Yes
60acd63e06dfc9c2f91748b5;5c992ba54c66db0014f7777b;APPROVED;2021-05-25 10:50:03.786000;2021-05-25 11:14:34.397000;1.470.611;27;169;3;99;2021-05-28 10:43:16.231000;51867BAD;Greece;Greece;Full-Time;Greek;Greek, English, Spanish;Greece;Female;No
60acc950111ffc9b0f9b5874;5cb237be9d908d000120453a;APPROVED;2021-05-25 09:54:34.052000;2021-05-25 10:13:58.576000;1.164.524;52;728;1;100;2021-05-28 10:43:26.331000;51867BAD;United Kingdom;United Kingdom;Full-Time;English;English;United Kingdom;Male;No
60ace8befdc9aa5bad506b4c;5cb4f4ec46ed130001d15b05;APPROVED;2021-05-25 12:09:34.507000;2021-05-25 12:39:45.486000;1.810.979;53;597;8;98;2021-05-28 10:43:36.140000;51867BAD;United Kingdom;United Kingdom;Not in paid work (e.g. homemaker', 'retired or disabled);English;English;United Kingdom;Female;No
60ace0be2b28787a84f8a2ba;5cc06e622413ca0017f2cdd8;APPROVED;2021-05-25 11:36:13.195000;2021-05-25 11:53:49.464000;1.056.269;58;117;1;100;2021-05-28 10:43:42.902000;51867BAD;United Kingdom;United Kingdom;Not in paid work (e.g. homemaker', 'retired or disabled);DATA EXPIRED;English;United Kingdom;Female;No
60acc805926ee0a3659abc00;5ced66139b5b490001b688ed;APPROVED;2021-05-25 09:48:56.887000;2021-05-25 10:11:33.490000;1.356.603;45;489;3;100;2021-05-28 10:43:48.094000;51867BAD;United Kingdom;United Kingdom;Part-Time;English;English;United Kingdom;Female;No
60acac5cf2b6d4a6ce034a9f;5cf13e7f89db9a0001aa488e;APPROVED;2021-05-25 07:50:52.596000;2021-05-25 08:22:47.343000;1.914.747;45;110;2;99;2021-05-28 10:43:56.178000;51867BAD;United Kingdom;United Kingdom;Full-Time;English;English;United Kingdom;Male;No
