workerId,prolific_id,group,cond,valence,exprating,valrating,arrating,block,trial_order,trial_cond,s1_color,Cong,IUS_tot,IUS_prospective,IUS_inhibitory,age,sex
14560,60eee976c85c395201e05d6c,CG,exp,neg,83,76,65,1,2,1,red,0,42,25,17,23,Female
14560,60eee976c85c395201e05d6c,CG,exp,neg,96,76,65,1,3,2,red,0,42,25,17,23,Female
14560,60eee976c85c395201e05d6c,CG,val_arr,neu,96,50,73,1,4,2,blue,0,42,25,17,23,Female
14560,60eee976c85c395201e05d6c,CG,exp,neg,100,50,73,1,5,3,red,0,42,25,17,23,Female
14560,60eee976c85c395201e05d6c,CG,exp,neg,0,50,73,1,6,4,blue,1,42,25,17,23,Female
14560,60eee976c85c395201e05d6c,CG,exp,neu,50,50,73,1,7,5,blue,0,42,25,17,23,Female
14560,60eee976c85c395201e05d6c,CG,val_arr,neg,50,0,81,1,8,3,red,0,42,25,17,23,Female
14560,60eee976c85c395201e05d6c,CG,val_arr,neg,50,0,99,1,9,4,red,0,42,25,17,23,Female
14560,60eee976c85c395201e05d6c,CG,val_arr,neu,50,50,50,1,10,5,red,1,42,25,17,23,Female
14560,60eee976c85c395201e05d6c,CG,val_arr,neu,50,70,68,1,11,6,blue,0,42,25,17,23,Female
14560,60eee976c85c395201e05d6c,CG,val_arr,neu,50,31,62,1,12,7,blue,0,42,25,17,23,Female
14560,60eee976c85c395201e05d6c,CG,val_arr,neu,50,100,0,1,13,8,blue,0,42,25,17,23,Female
14560,60eee976c85c395201e05d6c,CG,val_arr,neg,50,0,94,1,14,9,red,0,42,25,17,23,Female
14560,60eee976c85c395201e05d6c,CG,val_arr,neu,50,100,25,1,15,10,blue,0,42,25,17,23,Female
14560,60eee976c85c395201e05d6c,CG,exp,neg,94,100,25,1,16,6,red,0,42,25,17,23,Female
14560,60eee976c85c395201e05d6c,CG,exp,neg,93,100,25,1,17,7,red,0,42,25,17,23,Female
14560,60eee976c85c395201e05d6c,CG,val_arr,neg,93,11,84,1,18,11,blue,1,42,25,17,23,Female
14560,60eee976c85c395201e05d6c,CG,exp,neu,51,11,84,1,19,8,blue,0,42,25,17,23,Female
14560,60eee976c85c395201e05d6c,CG,exp,neg,50,11,84,1,20,9,blue,1,42,25,17,23,Female
14560,60eee976c85c395201e05d6c,CG,exp,neg,97,11,84,1,21,10,red,0,42,25,17,23,Female
14560,60eee976c85c395201e05d6c,CG,val_arr,neu,97,91,63,1,22,12,red,1,42,25,17,23,Female
14560,60eee976c85c395201e05d6c,CG,val_arr,neg,97,2,90,1,23,13,blue,1,42,25,17,23,Female
14560,60eee976c85c395201e05d6c,CG,val_arr,neg,97,0,100,1,24,14,red,0,42,25,17,23,Female
14560,60eee976c85c395201e05d6c,CG,exp,neg,50,0,100,1,25,11,blue,1,42,25,17,23,Female
14560,60eee976c85c395201e05d6c,CG,exp,neg,100,0,100,1,26,12,red,0,42,25,17,23,Female
14560,60eee976c85c395201e05d6c,CG,val_arr,neg,100,0,97,1,27,15,red,0,42,25,17,23,Female
14560,60eee976c85c395201e05d6c,CG,val_arr,neu,100,50,50,1,28,16,blue,0,42,25,17,23,Female
14560,60eee976c85c395201e05d6c,CG,val_arr,neg,100,50,63,1,29,17,blue,1,42,25,17,23,Female
14560,60eee976c85c395201e05d6c,CG,val_arr,neu,100,100,29,1,30,18,blue,0,42,25,17,23,Female
14560,60eee976c85c395201e05d6c,CG,val_arr,neu,100,78,22,1,31,19,red,1,42,25,17,23,Female
14560,60eee976c85c395201e05d6c,CG,val_arr,neu,100,67,70,1,32,20,blue,0,42,25,17,23,Female
14560,60eee976c85c395201e05d6c,CG,exp,neu,37,67,70,1,33,13,blue,0,42,25,17,23,Female
14560,60eee976c85c395201e05d6c,CG,exp,neu,28,67,70,1,34,14,blue,0,42,25,17,23,Female
14560,60eee976c85c395201e05d6c,CG,exp,neu,29,67,70,1,35,15,blue,0,42,25,17,23,Female
14560,60eee976c85c395201e05d6c,CG,val_arr,neu,29,75,50,1,36,21,red,1,42,25,17,23,Female
14560,60eee976c85c395201e05d6c,CG,exp,neu,22,75,50,1,37,16,blue,0,42,25,17,23,Female
14560,60eee976c85c395201e05d6c,CG,exp,neu,23,75,50,1,38,17,blue,0,42,25,17,23,Female
14560,60eee976c85c395201e05d6c,CG,exp,neg,94,75,50,1,39,18,red,0,42,25,17,23,Female
14560,60eee976c85c395201e05d6c,CG,exp,neu,100,75,50,1,40,19,red,1,42,25,17,23,Female
14560,60eee976c85c395201e05d6c,CG,val_arr,neg,100,0,71,2,41,22,red,0,42,25,17,23,Female
14560,60eee976c85c395201e05d6c,CG,val_arr,neg,100,15,76,2,42,23,red,0,42,25,17,23,Female
14560,60eee976c85c395201e05d6c,CG,val_arr,neu,100,50,50,2,43,24,blue,0,42,25,17,23,Female
14560,60eee976c85c395201e05d6c,CG,exp,neg,100,50,50,2,44,20,red,0,42,25,17,23,Female
14560,60eee976c85c395201e05d6c,CG,val_arr,neg,100,34,50,2,45,25,blue,1,42,25,17,23,Female
