workerId,group,cond,valence,exprating,valrating,arrating,block,trial_order,trial_cond,s1_color,Cong,age,sex,ITI,ISI,response_time_ISI_EXP,response_time_SAM_valence,response_time_SAM_arousal,timing_S1,timing_S2
14488,CG,val_arr,neu,66,100,0,2,41,20,neg,1,21,Male,851,1000,2450,5204,4100,250,1000
14488,CG,val_arr,neu,66,44,43,2,42,21,neg,1,21,Male,821,1000,2450,2878,1860,250,1000
14488,CG,val_arr,neu,66,75,71,2,43,22,neu,0,21,Male,1155,1000,2450,2058,1896,250,1000
14488,CG,exp,neu,55,75,71,2,44,22,neu,0,21,Male,800,1000,2979,2058,1896,250,1000
14488,CG,val_arr,neu,55,85,59,2,45,23,neu,0,21,Male,1053,1000,2979,5973,2236,250,1000
14488,CG,exp,neg,63,85,59,2,46,23,neg,0,21,Male,995,1000,4540,5973,2236,250,1000
14488,CG,exp,neu,16,85,59,2,47,24,neu,0,21,Male,994,1000,2185,5973,2236,250,1000
14488,CG,val_arr,neg,16,5,66,2,48,24,neg,0,21,Male,1159,1000,2185,2731,2729,250,1000
14488,CG,exp,neu,26,5,66,2,49,25,neu,0,21,Male,880,1000,3146,2731,2729,250,1000
14488,CG,val_arr,neu,26,74,5,2,50,25,neu,0,21,Male,1007,1000,3146,9164,2235,250,1000
14488,CG,exp,neg,10,74,5,2,51,26,neg,0,21,Male,963,1000,4220,9164,2235,250,1000
14488,CG,exp,neg,63,74,5,2,52,27,neg,0,21,Male,1012,1000,3176,9164,2235,250,1000
14488,CG,val_arr,neu,63,79,0,2,53,26,neu,0,21,Male,1021,1000,3176,2295,1473,250,1000
14488,CG,exp,neg,76,79,0,2,54,28,neu,1,21,Male,1137,1000,2851,2295,1473,250,1000
14488,CG,val_arr,neu,76,84,67,2,55,27,neu,0,21,Male,1125,1000,2851,20513,1469,250,1000
14488,CG,val_arr,neg,76,0,82,2,56,28,neu,1,21,Male,1011,1000,2851,16375,1642,250,1000
14488,CG,exp,neu,82,0,82,2,57,29,neg,1,21,Male,905,1000,2304,16375,1642,250,1000
14488,CG,exp,neg,60,0,82,2,58,30,neg,0,21,Male,1149,1000,3353,16375,1642,250,1000
14488,CG,val_arr,neg,60,5,91,2,59,29,neg,0,21,Male,1056,1000,3353,2527,22702,250,1000
14488,CG,val_arr,neg,60,27,28,2,60,30,neu,1,21,Male,1011,1000,3353,1811,1702,250,1000
14488,CG,val_arr,neg,60,6,100,2,61,31,neg,0,21,Male,860,1000,3353,2333,1692,250,1000
14488,CG,val_arr,neg,60,10,83,2,62,32,neg,0,21,Male,1088,1000,3353,2835,2033,250,1000
14488,CG,exp,neu,0,10,83,2,63,31,neu,0,21,Male,1096,1000,2038,2835,2033,250,1000
14488,CG,val_arr,neg,0,27,62,2,64,33,neg,0,21,Male,839,1000,2038,1899,1785,250,1000
