workerId,prolific_id,group,cond,valence,exprating,valrating,arrating,block,trial_order,trial_cond,s1_color,Cong,IUS_tot,IUS_prospective,IUS_inhibitory,age,sex
12493,5fc0add1954a2256e62c13da,CG,val_arr,neg,74,31,31,2,43,19,blue,1,17,11,6,54,Male
12493,5fc0add1954a2256e62c13da,CG,val_arr,neu,74,68,49,2,44,20,red,1,17,11,6,54,Male
12493,5fc0add1954a2256e62c13da,CG,val_arr,neu,74,53,36,2,45,21,red,1,17,11,6,54,Male
12493,5fc0add1954a2256e62c13da,CG,exp,neg,34,53,36,2,46,25,red,0,17,11,6,54,Male
12493,5fc0add1954a2256e62c13da,CG,exp,neu,64,53,36,2,47,26,blue,0,17,11,6,54,Male
12493,5fc0add1954a2256e62c13da,CG,val_arr,neg,64,33,37,2,48,22,red,0,17,11,6,54,Male
12493,5fc0add1954a2256e62c13da,CG,exp,neu,37,33,37,2,49,27,blue,0,17,11,6,54,Male
12493,5fc0add1954a2256e62c13da,CG,exp,neu,37,33,37,2,50,28,red,1,17,11,6,54,Male
12493,5fc0add1954a2256e62c13da,CG,val_arr,neu,37,61,41,2,51,23,blue,0,17,11,6,54,Male
12493,5fc0add1954a2256e62c13da,CG,exp,neg,59,61,41,2,52,29,red,0,17,11,6,54,Male
12493,5fc0add1954a2256e62c13da,CG,val_arr,neu,59,62,37,2,53,24,blue,0,17,11,6,54,Male
12493,5fc0add1954a2256e62c13da,CG,val_arr,neg,59,32,32,2,54,25,blue,1,17,11,6,54,Male
12493,5fc0add1954a2256e62c13da,CG,val_arr,neg,59,24,46,2,55,26,red,0,17,11,6,54,Male
12493,5fc0add1954a2256e62c13da,CG,val_arr,neg,59,4,47,2,56,27,red,0,17,11,6,54,Male
12493,5fc0add1954a2256e62c13da,CG,val_arr,neg,59,9,55,2,57,28,red,0,17,11,6,54,Male
12493,5fc0add1954a2256e62c13da,CG,val_arr,neg,59,7,59,2,58,29,red,0,17,11,6,54,Male
12493,5fc0add1954a2256e62c13da,CG,val_arr,neu,59,67,39,2,59,30,red,1,17,11,6,54,Male
12493,5fc0add1954a2256e62c13da,CG,exp,neu,26,67,39,2,60,30,blue,0,17,11,6,54,Male
12493,5fc0add1954a2256e62c13da,CG,exp,neu,26,67,39,2,61,31,blue,0,17,11,6,54,Male
12493,5fc0add1954a2256e62c13da,CG,exp,neg,30,67,39,2,62,32,blue,1,17,11,6,54,Male
12493,5fc0add1954a2256e62c13da,CG,val_arr,neu,30,67,32,2,63,31,blue,0,17,11,6,54,Male
12493,5fc0add1954a2256e62c13da,CG,val_arr,neg,30,14,55,2,64,32,red,0,17,11,6,54,Male
